SchoolItem,relation,NewNode
武汉市,contains administrative territorial entity,武昌区
湖北省,contains administrative territorial entity,十堰市
类,described by source,亚美尼亚苏维埃百科全书
理论,described by source,亚美尼亚苏维埃百科全书
比重,discoverer or inventor,比鲁尼
工作日,owned by,Times Media Group
教育部,country,美国
武,family name identical to this given name,武士
数,described by source,The Art of Computer Programming Volume 1: Fundamental Algorithms 3rd edition
学科,said to be the same as,工作领域
材料,topic's main template,Template:Infobox material
距离,topic's main category,Category:Distance
管理科学,fabrication method,企划
李兵,participant of,2011年世界女子手球锦标赛
的,said to be the same as,来自
学校,has part,school building
英语,country,安提瓜和巴布达
软件,history of topic,history of software
语言,topic's main category,Category:Language
知识,different from,资讯
武汉市,contains administrative territorial entity,青山区
湖北省,contains administrative territorial entity,宜昌市
基础,instance of,结构构件
办法,subclass of,过程
信息,subclass of,抽象客体
问题,subclass of,状态
动态,instance of,学术论文
内容,instance of,抽象客体
学院,named after,阿卡德摩斯
类,different from,纲
理论,has part,hypothetical event
比重,use,量度
工作日,headquarters location,Rosebank
教育部,applies to jurisdiction,美国
武,described by source,维基词典
数,described by source,布罗克豪斯-艾佛隆百科词典
学科,facet of,science
材料,topic's main category,Category:材料
距离,described by source,ISO 80000-3:2006: Quantities and units—Part 3: Space and time
管理科学,fabrication method,公共行政
的,said to be the same as,von der
学校,related category,Category:学校题材乐曲
英语,country,阿鲁巴
软件,has part,计算机程序
语言,geography of topic,方言地理学
武汉市,contains administrative territorial entity,洪山区
湖北省,contains administrative territorial entity,襄阳市
基础,subclass of,建设
办法,subclass of,人造客体
信息,studied by,信息学
技术,subclass of,应用科学
问题,has quality,undesirability
动态,language of work or name,汉语
内容,subclass of,资讯
学院,named after,石墓
比重,described by source,亚美尼亚苏维埃百科全书
教育部,follows,美国卫生及公共服务部
数,said to be the same as,标量
材料,said to be the same as,substance
距离,described by source,Ottův slovník naučný
管理科学,fabrication method,社会控制
英语,country,澳大利亚
语言,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
知识,on focus list of Wikimedia project,Wikipedia:基础条目
武汉市,contains administrative territorial entity,东西湖区
湖北省,contains administrative territorial entity,鄂州市
组,subclass of,lithostratigraphic unit
方案,instance of,电视电影
大字,instance of,行政区划类型
系统,subclass of,生物系统
目录,subclass of,编目
热点,subclass of,火山地貌
基础,topic's main category,Category:Foundations (buildings and structures)
信息,has cause,raw data
问题,opposite of,解决方案
动态,published in,外国文学评论
内容,subclass of,content
学院,named after,陵墓
类,different from,社会阶级
教育部,parent organization,美国联邦政府
数,on focus list of Wikimedia project,Wikipedia:基础条目
管理科学,practiced by,干部
英语,country,巴哈马
软件,on focus list of Wikimedia project,Wikipedia:基础条目
语言,described by source,布罗克豪斯-艾佛隆百科词典
知识,Wikimedia outline,outline of knowledge
武汉市,contains administrative territorial entity,汉南区
湖北省,contains administrative territorial entity,荆门市
组,part of,subgroup
方案,instance of,迷你剧集
大字,subclass of,人类聚居地
系统,subclass of,解剖结构
目录,subclass of,file system object
热点,topic's main category,Category:Hotspots (geology)
基础,described by source,亚美尼亚苏维埃百科全书
办法,different from,methodics
信息,has cause,信号
问题,topic's main category,Category:问题
学院,topic's main category,Category:学院
类,different from,教室
教育部,subsidiary,教育科学研究院
管理科学,practiced by,协调人
英语,country,巴林
软件,Wikimedia outline,outline of software
语言,described by source,Bible Encyclopedia of Archimandrite Nicephorus
武汉市,contains administrative territorial entity,蔡甸区
湖北省,contains administrative territorial entity,孝感市
中国,instance of,主权国家
网站,subclass of,数字媒体
博士,instance of,学术衔头
新生,instance of,文学作品
本科生,instance of,职业
会议,subclass of,会面
电话,subclass of,机械
组,topic's main category,Category:地层组
方案,country of origin,英国
大字,subclass of,日本行政区划
系统,part of,生物
目录,subclass of,computer science term
热点,greater than,surroundings
技术,topic's main Wikimedia portal,Portal:技术
问题,described by source,亚美尼亚苏维埃百科全书
学院,described by source,亚美尼亚苏维埃百科全书
教育部,subsidiary,Office of Inspector General Department of Education
管理科学,topic's main template,Template:管理学
英语,country,巴巴多斯
软件,model item,Windows XP
语言,described by source,Desktop Encyclopedic Dictionnary
武汉市,contains administrative territorial entity,江夏区
湖北省,contains administrative territorial entity,荆州市
中国,instance of,国家
网站,subclass of,互动式多媒体
博士,instance of,奖励
新生,genre,骑士文学
会议,subclass of,事件
电话,subclass of,装置
组,has part,member
大字,subclass of,行政领土实体
系统,topic's main category,Category:器官系统
目录,part of,文件系统
热点,model item,夏威夷群岛
信息,used by,Informetrics
技术,topic's main template,Template:技术
问题,described by source,格拉纳特百科词典
学院,described by source,布罗克豪斯-艾佛隆百科词典
教育部,headquarters location,华盛顿哥伦比亚特区
管理科学,topic's main category,Category:管理学
英语,country,伯利兹
软件,model item,火狐浏览器
武汉市,contains administrative territorial entity,黄陂区
湖北省,contains administrative territorial entity,黄冈市
对象,instance of,哲学概念
中国,instance of,社会主义国家
网站,subclass of,互联网作品
博士,instance of,荣誉头衔
新生,genre,自传
会议,part of,conference series
电话,subclass of,消费电子产品
大字,subclass of,Neighborhoods in Japan
系统,has parts of the class,器官
目录,part of,虚拟档案系统
信息,topic's main category,Category:资讯
技术,topic's main category,Category:技术
学院,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
教育部,foundational text,Department of Education Organization Act
管理科学,different from,调控
英语,country,百慕大
软件,model item,Android
语言,has part,langue
武汉市,contains administrative territorial entity,新洲区
湖北省,contains administrative territorial entity,咸宁市
对象,subclass of,实体
中国,instance of,世俗国家
网站,subclass of,计算机网络
新生,has edition,The New Life
会议,edition or translation of,XP Universe
电话,subclass of,电器
大字,country,中华民国
系统,facet of,生理学
目录,part of,directory structure
信息,described by source,亚美尼亚苏维埃百科全书
技术,history of topic,技术史
学院,described by source,The Nuttall Encyclopædia
教育部,topic's main category,Category:美国教育部
管理科学,said to be the same as,administration
英语,country,不丹
软件,model item,SQLite
语言,has part,language
武汉市,located in time zone,东八区
湖北省,contains administrative territorial entity,随州市
对象,part of,主体与客体
中国,instance of,共和立宪制
网站,part of,万维网
博士,topic's main category,Category:Doctor
新生,has edition,La vita nuova
会议,topic's main category,Category:研讨会
电话,part of,telephone network
大字,country,日本
目录,topic's main category,Category:文件系统目录
信息,described by source,Kazakhstan. National encyclopedia
技术,history of topic,history of technology in Ukraine
学院,different from,柏拉图学院
管理科学,facet of,组织
英语,country,波札那
软件,model item,VLC media player
语言,has part,编程语言
武汉市,twinned administrative body,杜伊斯堡
湖北省,contains administrative territorial entity,恩施土家族苗族自治州
对象,has quality,位置
网站,software engine,网页伺服器
博士,described by source,Ottův slovník naučný
新生,has edition,La Vie nouvelle
电话,discoverer or inventor,菲利普-雷斯
大字,country,日治台湾
目录,facet of,操作系统
技术,described by source,格拉纳特百科词典
学院,different from,Academic district France
英语,country,英属印度洋领地
软件,maintained by WikiProject,Wikipedia:软件专题
语言,different from,language
武汉市,twinned administrative body,加拉茨
湖北省,contains administrative territorial entity,仙桃市
对象,manifestation of,mythological object
中国,part of,东亚
网站,practiced by,网站管理员
博士,said to be the same as,博士学位
新生,has edition,Das Neue Leben
电话,discoverer or inventor,以利沙·格雷
大字,located in the administrative territorial entity,Town of Taiwan under Japanese rule
信息,said to be the same as,information
技术,on focus list of Wikimedia project,Wikipedia:基础条目
学院,different from,Académie Royale
英语,country,英属维尔京群岛
武汉市,twinned administrative body,基辅
湖北省,contains administrative territorial entity,潜江市
对象,manifestation of,虚构的对象
中国,founded by,中国共产党
网站,topic's main template,Template:Infobox website
新生,author,但丁·阿利吉耶里
电话,discoverer or inventor,亚历山大·格拉汉姆·贝尔
大字,located in the administrative territorial entity,Village of Taiwan under Japanese rule
信息,on focus list of Wikimedia project,Wikipedia:基础条目
技术,Wikimedia outline,outline of technology
英语,country,汶莱
语言,said to be the same as,Nutq
武汉市,twinned administrative body,喀土穆
湖北省,contains administrative territorial entity,天门市
对象,opposite of,物件
中国,official language,标准汉语
网站,topic's main category,Category:网站
新生,country of origin,意大利
电话,discoverer or inventor,安东尼奥·穆齐
大字,contains administrative territorial entity,小字
技术,maintained by WikiProject,Wikipedia:技术专题
英语,country,柬埔寨
语言,on focus list of Wikimedia project,Wikipedia:基础条目
武汉市,twinned administrative body,大分市
湖北省,contains administrative territorial entity,神农架林区
对象,topic's main template,Template:Infobox object
中国,anthem,义勇军进行曲
网站,has part,网页
新生,language of work or name,意大利语
电话,use,对话
大字,topic's main category,Category:大字
英语,country,喀麦隆
语言,maintained by WikiProject,Wikipedia:语言专题
武汉市,twinned administrative body,波尔多
湖北省,located in time zone,东八区
对象,topic's main category,Category:物品
中国,culture,中华文化
网站,said to be the same as,网页
新生,copyright status,公有领域
电话,topic's main category,Category:Telephones
英语,country,加拿大
武汉市,twinned administrative body,曼彻斯特
湖北省,shares border with,陕西省
对象,described by source,New Encyclopedic Dictionary
中国,continent,亚洲
网站,maintenance method,website maintenance
新生,copyright status,公有领域
电话,history of topic,电话的历史
英语,country,荷兰加勒比区
武汉市,twinned administrative body,基督城
湖北省,shares border with,河南省
对象,disjoint union of,值作为限定符
中国,country,中华人民共和国
新生,topic's main category,Category:Vita Nuova
电话,described by source,亚美尼亚苏维埃百科全书
英语,country,开曼群岛
武汉市,twinned administrative body,阿什杜德
湖北省,shares border with,安徽省
对象,said to be the same as,concrete object
中国,capital,北京市
电话,described by source,Sytin Military Encyclopedia
英语,country,圣诞岛
武汉市,twinned administrative body,阿纳姆
湖北省,shares border with,江西省
对象,on focus list of Wikimedia project,Wikipedia:基础条目
电话,described by source,Riemann's Music Dictionary (1901–1904)
英语,country,科科斯（基林）群岛
武汉市,twinned administrative body,圣珀尔滕
湖北省,shares border with,湖南省
中国,territory claimed by,中华民国
电话,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
英语,country,库克群岛
武汉市,twinned administrative body,匹兹堡
湖北省,shares border with,重庆市
中国,highest point,珠穆朗玛峰
电话,described by source,布罗克豪斯-艾佛隆百科词典
英语,country,多米尼克
武汉市,twinned administrative body,曼谷
湖北省,topic's main category,Category:湖北
中国,lowest point,艾丁湖
电话,described by source,布罗克豪斯-艾佛隆百科词典
英语,country,厄立特里亚
武汉市,twinned administrative body,圣路易斯
湖北省,category of associated people,Category:湖北人
中国,basic form of government,一党制
电话,produced sound,电话铃声
英语,country,埃塞俄比亚
武汉市,twinned administrative body,杰尔
湖北省,category for films shot at this location,Category:湖北取景电影
中国,basic form of government,民主集中制
电话,on focus list of Wikimedia project,Wikipedia:基础条目
英语,country,福克兰群岛
武汉市,twinned administrative body,科帕沃于尔
湖北省,described by source,布罗克豪斯-艾佛隆百科词典
中国,basic form of government,议会共和制
英语,country,斐济
武汉市,twinned administrative body,斯旺西
湖北省,category for maps,Category:Maps of Hubei
中国,basic form of government,单一制
英语,country,冈比亚
武汉市,twinned administrative body,伊兹密尔
中国,basic form of government,共和立宪制
英语,country,迦纳
武汉市,owner of,武汉轨道交通2号线
中国,office held by head of state,中华人民共和国主席
英语,country,直布罗陀
武汉市,owner of,武汉轨道交通1号线
中国,head of state,习近平
英语,country,格林纳达
武汉市,owner of,武汉轨道交通4号线
中国,head of state,胡锦涛
英语,country,美国
武汉市,owner of,武汉轨道交通阳逻线
姓名,subclass of,人名学
部分,subclass of,分子实体
仪式,subclass of,人类行为
论文,subclass of,科学文献
背景,instance of,artistic concept
毕业生,instance of,电影
系,instance of,分类级别
中国,head of state,江泽民
英语,country,根西
武汉市,owner of,武汉轨道交通8号线
姓名,subclass of,full object name
硕士,subclass of,postgraduate degree
部分,subclass of,moiety
仪式,part of,崇拜 (宗教习俗)
背景,subclass of,plane
毕业生,movement,美国新好莱坞电影
系,instance of,infrageneric rank
中国,head of state,杨尚昆
英语,country,圭亚那
武汉市,owner of,武汉轨道交通6号线
专题,instance of,学术论文
方式,subclass of,行动
计划,subclass of,抽象客体
智能,instance of,属性
章,instance of,汉姓
张三,instance of,无名氏
说明,instance of,学术论文
校园,subclass of,institutional complex
姓名,subclass of,personal data
硕士,subclass of,学术衔头
部分,part of,分子实体
仪式,topic's main category,Category:Ritual
论文,subclass of,scholarly work
背景,subclass of,compositional element
毕业生,based on,The Graduate
系,instance of,植物分类级别
中国,head of state,李先念
英语,country,印度
武汉市,owner of,武汉轨道交通7号线
专题,language of work or name,汉语
方式,has quality,结果
计划,depicts,未来
智能,instance of,性状
章,instance of,姓氏
张三,instance of,人名学
说明,language of work or name,汉语
校园,subclass of,教育组织
姓名,used by,personal name system
硕士,subclass of,qualification (degree)
部分,used by,化学分类
仪式,topic's main category,Category:仪式
论文,has cause,academic writing
背景,part of,构图
毕业生,main subject,处女
系,part of,亚节
中国,head of state,叶剑英
英语,country,爱尔兰共和国
武汉市,owner of,武汉轨道交通3号线
专题,published in,开放时代
方式,different from,资源
计划,fabrication method,企划
智能,subclass of,认知
章,writing system,汉字
张三,instance of,多用途名字
说明,published in,世界宗教研究
姓名,topic's main template,Template:各文化人名
硕士,followed by,副博士学位
部分,topic's main category,Category:官能团
论文,uses,学术同行评审
背景,opposite of,前景
毕业生,genre,喜剧电视剧
中国,head of state,宋庆龄
英语,country,曼岛
武汉市,owner of,武汉轨道交通11号线
计划,described by source,Ottův slovník naučný
智能,has effect,mental object
章,topic's main category,Category:章姓
校园,part of,应用科学大学
姓名,topic's main category,Category:人名
硕士,topic's main category,Category:硕士学位
部分,different from,自由基
论文,topic's main category,Category:论文
毕业生,genre,成年故事
系,facet of,植物学
中国,head of state,朱德
英语,country,以色列
武汉市,topic's main category,Category:武汉
计划,different from,企划
智能,measured by,韦克斯勒成人智力量表
章,described by source,百家姓
张三,writing system,拉丁文字
校园,topic's main category,Category:校区
姓名,has part,姓氏
硕士,described by source,亚美尼亚苏维埃百科全书
论文,different from,学术期刊文章
毕业生,genre,基于文学的电影
中国,head of state,董必武
英语,country,牙买加
武汉市,category of associated people,Category:武汉人
智能,measured by,韦克斯勒儿童智力量表
章,different from,Zhang
张三,has part,约翰
校园,has part,university building
姓名,has part,名字
硕士,described by source,Explanatory Dictionary of the Living Great Russian Language
论文,model item,核酸分子结构
毕业生,genre,剧情片
中国,head of state,刘少奇
英语,country,泽西
武汉市,category for people born here,Category:Births in Wuhan
智能,measured by,斯坦福-比奈智力量表
张三,has part,Doe
姓名,has part,母名
硕士,described by source,布罗克豪斯-艾佛隆百科词典
论文,model item,论动体的电动力学
毕业生,genre,浪漫喜剧
中国,head of state,毛泽东
英语,country,肯尼亚
武汉市,category for films shot at this location,Category:武汉取景电影
智能,measured by,Cattell Culture Fair III
张三,has part,Roe
姓名,has part,父名
硕士,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
毕业生,country of origin,美国
中国,head of state,宋庆龄
英语,country,吉里巴斯
武汉市,described by source,亚美尼亚苏维埃百科全书
智能,opposite of,愚蠢
张三,different from,Nomen nescio
姓名,disjoint union of,值作为限定符
硕士,said to be the same as,文学硕士
中国,office held by head of government,中华人民共和国国务院总理
英语,country,黎巴嫩
武汉市,category for maps,Category:Maps of Wuhan
智能,topic's main category,Category:智力
张三,different from,Jane Doe
硕士,said to be the same as,laurea magistrale
毕业生,director,迈克·尼科尔斯
中国,head of government,李克强
英语,country,莱索托
智能,described by source,Kazakhstan. National encyclopedia
张三,facet of,法医学
硕士,said to be the same as,法国硕士
毕业生,screenwriter,Calder Willingham
中国,head of government,温家宝
英语,country,利比里亚
智能,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
张三,facet of,法学
硕士,said to be the same as,candidate
毕业生,screenwriter,巴克·亨利
中国,head of government,朱镕基
英语,country,马达加斯加
智能,said to be the same as,intellect
硕士,prerequisite,学士
毕业生,screenwriter,Charles Webb
中国,head of government,李鹏
英语,country,马拉维
毕业生,cast member,德斯汀·荷夫曼
中国,head of government,赵紫阳
英语,country,马来西亚
毕业生,cast member,安妮·班克罗夫特
中国,head of government,华国锋
英语,country,马尔代夫
毕业生,cast member,凯瑟琳·萝丝
中国,head of government,周恩来
英语,country,马耳他
毕业生,cast member,威廉·丹尼尔斯
中国,executive body,中华人民共和国国务院
英语,country,马绍尔群岛
毕业生,cast member,伊莉沙白·威森
中国,legislative body,全国人民代表大会
英语,country,毛里求斯
毕业生,cast member,莫瑞·汉密尔顿
中国,legislative body,全国人民代表大会常务委员会
英语,country,密克罗尼西亚联邦
毕业生,cast member,Marion Lorne
中国,highest judicial authority,中华人民共和国最高人民法院
英语,country,蒙塞拉特岛
毕业生,cast member,诺曼·费尔
中国,highest judicial authority,最高人民检察院
英语,country,纳米比亚
毕业生,cast member,伊丽莎白·弗雷泽
中国,central bank,中国人民银行
英语,country,诺鲁
毕业生,cast member,李察·德雷福斯
中国,diplomatic relation,美国
英语,country,新西兰
地址,subclass of,personal data
高校,instance of,维基媒体消歧义页
个人,subclass of,物件
工程,instance of,computer science term
院,instance of,汉姓
等级分,instance of,rating system
质量,instance of,scalar magnitude
毕业生,cast member,巴克·亨利
中国,diplomatic relation,俄罗斯
英语,country,奈及利亚
地址,subclass of,名称
个人,subclass of,agent
工程,subclass of,music production
院,instance of,姓氏
等级分,part of,chess terminology
质量,subclass of,外延物理量
毕业生,cast member,爱丽丝·古斯利
中国,diplomatic relation,以色列
英语,country,纽埃
票,instance of,电影
技能,subclass of,能力倾向
八一路,country,中华人民共和国
单位,subclass of,measure
电子,instance of,量子粒子种类
比例,instance of,质
地址,subclass of,address
个人,subclass of,item with given name property
工程,subclass of,电脑程式设计
院,writing system,汉字
等级分,named after,阿尔帕德·埃洛
质量,subclass of,ISQ base quantity
毕业生,cast member,Eddra Gale
中国,diplomatic relation,巴西
英语,country,诺福克岛
武汉大学,country,中华人民共和国
票,genre,爱情片
老师,subclass of,博学者
单位,part of,单位制
电子,subclass of,轻子
比例,subclass of,dependence
地址,topic's main category,Category:地址
个人,subclass of,个体
工程,practiced by,music programmer
等级分,derivative work,0 A.D.
质量,part of,质能等价
毕业生,cast member,华特·布鲁克
中国,diplomatic relation,意大利
英语,country,阿曼
票,country of origin,大韩民国
技能,topic's main category,Category:技能
老师,subclass of,专业人士
单位,part of,量值
电子,subclass of,费米子
比例,notation,double colon
地址,has part,street address
个人,has quality,个人生活
等级分,sport,乒乓球
质量,part of,力
毕业生,cast member,麦克·法洛
中国,diplomatic relation,德国
英语,country,巴基斯坦
票,original language of film or TV show,朝鲜语
技能,described by source,亚美尼亚苏维埃百科全书
老师,field of this occupation,教育
单位,topic's main template,Template:Infobox unit
电子,named after,琥珀
比例,topic's main category,Category:Proportionality
地址,has part,邮政编码
个人,has quality,化名
等级分,sport,围棋
质量,has effect,Forc
毕业生,cast member,Donald F. Glut
中国,diplomatic relation,佛得角
英语,country,帛琉
武汉大学,topic's main category,Category:武汉大学
票,director,林权泽
技能,different from,Habilidad
老师,uses,education terminology
单位,topic's main category,Category:度量衡
电子,followed by,Μ子
地址,has part,place of destination
个人,has quality,出生日期
等级分,sport,国际象棋
质量,has quality,量纲
毕业生,cast member,Harry Holcombe
中国,diplomatic relation,纽埃
英语,country,巴布亚新几内亚
武汉大学,category for employees of the organization,Category:武汉大学教授
票,cast member,金芝美
老师,topic's main category,Category:教育家
单位,described by source,International Vocabulary of Metrology
电子,discoverer or inventor,约瑟夫·汤姆孙
个人,has quality,关系状态
等级分,discoverer or inventor,阿尔帕德·埃洛
质量,has quality,惯性原理
毕业生,cast member,伊莱恩·梅
中国,diplomatic relation,蒙古国
英语,country,菲律宾
